time,code,open,close,high,low,volume,money
2025-01-02,000852.XSHG,5948.6802,5797.089,5982.5535,5743.1785,24412560600.0,293717954949.8
2025-01-03,000852.XSHG,5808.5424,5625.209,5826.0833,5609.7663,23709321100.0,272348061516.5
2025-01-06,000852.XSHG,5614.0281,5608.0344,5688.9223,5561.898,20304767600.0,234876628472.7
2025-01-07,000852.XSHG,5610.9462,5692.041,5694.0046,5580.8851,19391245000.0,234287089801.0
2025-01-08,000852.XSHG,5664.3121,5661.7793,5706.6593,5501.4918,22580083000.0,272083991656.3
2025-01-09,000852.XSHG,5629.8952,5672.7796,5714.4606,5629.8239,19332042100.0,248219962749.3
2025-01-10,000852.XSHG,5662.7667,5544.9158,5718.2122,5544.9158,19801487700.0,242988533222.6
2025-01-13,000852.XSHG,5487.1249,5559.4725,5599.3268,5457.5095,16930919000.0,201644040965.3
2025-01-14,000852.XSHG,5580.8778,5811.0545,5814.7071,5562.1801,23577286900.0,291062201266.9
2025-01-15,000852.XSHG,5805.898,5775.5709,5815.1483,5755.6247,20429032500.0,258108817510.5
2025-01-16,000852.XSHG,5810.0511,5801.3051,5906.4655,5753.764,21637323900.0,268024992527.5
2025-01-17,000852.XSHG,5780.6056,5841.5718,5885.4165,5755.9071,19681796700.0,252875263541.6
2025-01-20,000852.XSHG,5877.972,5879.1495,5925.0719,5856.8325,19843078300.0,250732032833.4
2025-01-21,000852.XSHG,5911.4048,5908.0234,5917.1293,5834.9644,19912783400.0,273060411933.6
2025-01-22,000852.XSHG,5879.8433,5855.7393,5886.7418,5824.0345,18029676000.0,245947705315.3
2025-01-23,000852.XSHG,5911.2189,5829.0329,5991.845,5829.0329,22285575300.0,296684961437.9
2025-01-24,000852.XSHG,5815.4583,5938.1301,5943.1118,5815.4583,20809044500.0,279147952363.8
2025-01-27,000852.XSHG,5946.7291,5846.0686,5964.1497,5846.0686,18864620000.0,253588513600.5
2025-02-05,000852.XSHG,5900.5128,5881.4366,5928.8797,5851.5951,21200531000.0,286305599979.0
2025-02-06,000852.XSHG,5869.7051,6041.8337,6042.0194,5853.7462,25599851100.0,361378399220.7
2025-02-07,000852.XSHG,6046.3647,6134.0545,6198.7478,6042.2605,32395283500.0,447048589278.1
2025-02-10,000852.XSHG,6155.0511,6210.5471,6218.066,6126.0819,29782593200.0,407767222307.3
2025-02-11,000852.XSHG,6209.5207,6190.1739,6220.964,6135.8659,28827157600.0,393173431222.1
2025-02-12,000852.XSHG,6172.3935,6284.6107,6284.9184,6171.0611,28134276500.0,392322251370.8
2025-02-13,000852.XSHG,6290.7898,6212.4968,6290.7898,6202.5929,31298493500.0,437899818480.6
