trade_date,small_upper,large_lower
2025-01-02,21.2065,127.4172
2025-01-03,20.3203,124.5445
2025-01-06,20.1037,123.9392
2025-01-07,20.691999999999997,125.1981
2025-01-08,20.6,124.5907
2025-01-09,20.784000000000002,124.2996
2025-01-10,20.0972,122.3556
2025-01-13,20.2405,121.9661
2025-01-14,21.2821,127.2146
2025-01-15,21.1468,125.5762
2025-01-16,21.3223,126.1665
2025-01-17,21.3273,127.4666
2025-01-20,21.5526,128.9461
2025-01-21,21.4878,129.3326
2025-01-22,21.1561,128.2749
2025-01-23,21.1738,127.8789
2025-01-24,21.456,130.1919
2025-01-27,21.2642,128.2749
2025-02-05,21.4799,128.4002
2025-02-06,22.0064,131.1791
2025-02-07,22.2365,133.3791
2025-02-10,22.775,134.4813
2025-02-11,22.6834,135.0555
2025-02-12,22.7152,136.1854
2025-02-13,22.4103,136.0225
2025-02-14,22.5742,136.1169
2025-02-17,22.8335,137.1931
2025-02-18,22.2293,134.1245
2025-02-19,22.7616,136.235
2025-02-20,23.0745,136.078
2025-02-21,23.2043,138.1847
2025-02-24,23.2935,137.6773
2025-02-25,23.0956,136.8212
2025-02-26,23.4933,139.0213
2025-02-27,23.4185,138.982
2025-02-28,22.7604,134.6302
2025-03-03,22.9319,135.674
2025-03-04,23.2267,137.6048
2025-03-05,23.2114,137.5345
2025-03-06,23.5616,139.1136
2025-03-07,23.3923,139.3873
2025-03-10,23.6599,140.0139
2025-03-11,23.7388,141.7366
2025-03-12,23.9128,141.7411
2025-03-13,23.6155,140.5418
2025-03-14,24.1647,142.2007
2025-03-17,24.3827,142.2312
2025-03-18,24.4542,142.6159
2025-03-19,24.3005,142.4487
2025-03-20,24.36,142.137
2025-03-21,23.9884,139.7811
2025-03-24,23.3536,138.8077
2025-03-25,23.3442,138.4821
2025-03-26,23.6808,138.9287
2025-03-27,23.4859,138.4087
2025-03-28,23.0062,136.9815
2025-03-31,22.7887,135.1498
2025-04-01,23.1977,136.8337
2025-04-02,23.2263,136.8343
2025-04-03,23.156,136.4078
2025-04-07,20.0186,121.3333
2025-04-08,19.9645,122.9651
2025-04-09,20.4277,125.2484
2025-04-10,21.0338,127.9467
2025-04-11,21.2779,129.1712
2025-04-14,21.8299,130.0066
2025-04-15,22.0064,129.6196
2025-04-16,21.5258,128.8166
2025-04-17,21.7133,128.1375
2025-04-18,21.7056,128.4403
2025-04-21,22.0346,131.1214
2025-04-22,22.1827,130.4911
2025-04-23,22.3249,131.3648
2025-04-24,22.1328,131.1864
2025-04-25,22.1592,131.6327
2025-04-28,21.9809,130.9154
2025-04-29,22.4106,131.7835
2025-04-30,22.861,133.1112
2025-05-06,23.5736,135.0195
2025-05-07,23.7176,135.1088
2025-05-08,24.155,135.4981
2025-05-09,23.9266,134.3308
2025-05-12,24.154,136.4581
2025-05-13,24.0905,136.7396
2025-05-14,24.1852,137.3877
2025-05-15,24.0426,135.5952
2025-05-16,24.1092,135.4042
2025-05-19,24.338,136.4107
2025-05-20,24.6648,136.6785
2025-05-21,24.6509,135.88299999999998
2025-05-22,24.3662,134.2094
2025-05-23,23.9583,132.407
2025-05-26,24.3245,132.8384
2025-05-27,24.5247,132.7297
2025-05-28,24.3491,132.3309
2025-05-29,24.8233,134.2529
2025-05-30,24.3101,132.8026
2025-06-03,24.6461,133.7298
2025-06-04,24.7833,134.4046
2025-06-05,25.0478,135.4059
2025-06-06,25.0977,135.1069
2025-06-09,25.4678,136.262
2025-06-10,25.326,135.8323
2025-06-11,25.5963,136.0618
2025-06-12,25.5912,136.328
2025-06-13,25.0605,134.0975
2025-06-16,25.2881,134.2365
2025-06-17,25.3357,134.4047
2025-06-18,25.2354,134.783
2025-06-19,24.6536,133.0677
2025-06-20,24.5681,131.4942
2025-06-23,25.1889,133.5755
2025-06-24,25.5743,136.2537
2025-06-25,25.7532,138.0888
2025-06-26,25.7778,137.088
2025-06-27,25.9506,137.5653
